,Title,1Similar,2Similar,3Similar,4Similar,5Similar,6Similar
0,"Fadnavis, Piyush Goyal perform 'bhoomi pujan' of Latur rail coach factory",Fadnavis reviews progress of Jalyukt Shivar Abhiyan via video conferencing,Master Stroke: Shiv Sena protests against Maharashtra government's Refinery project in Ratnagiri,How to deal with body odour this summer?,PM Modi lauds Bihar Govt. on successful Swachhagraha campaign,Aaj Ka Arjun: Aaj Ka Arjun: PM Narendra Modi's address from Champaran a step towards mission 2019 ,Reduce inequalities to resolve India's environment challenges: Experts
1,Bhagalpur violence: Arijit Shashwat surrenders,"Arijit Shashwat was arrested, claims police",Aaj Ka Arjun: Rift between Nitish and BJP's friendship?,Bhagalpur violence: Arijit Shashwat released from jail,Bhagalpur Violence: Union Minister Ashwini Choubey's son Arjit Shashwat arrested; says 'was not evading arrest',Bhagalpur Violence: Union Minister Ashwini Choubey's son Arjit Shashwat arrested; says 'was not evading arrest',Bhagalpur communal clash case: Arijit Shashwat surrenders
2,Lawyer MPs engaging judge's impeachment barred from practice in court,Delhi court lawyers to hold strike against attack on brethren,"भारत बंद: MP के ग्वालियर,मुरैना में धारा 144 लागू, प्रशासन सतर्क",Protesting lawyers shave their heads in Bhopal,PM Narendra Modi to observe day-long fast on April 12 against Parliament disruption,EC seeks powers to make election-related rules,Unnao gangrape case: UP police bowed down to political clout of rape-accused BJP MLA?
3,Kodandaram's party gets green signal,"Ramdev meets Nizamabad MP, hints support to third front",Panchayat Polls: West Bengal EC revokes extended deadline for filing nomination,Panchayat Polls: Calcutta HC directs state EC to file report,"KCR to meet Deve Gowda, likely to discuss formation of third front",Congress' 1st list for Karnataka assembly polls likely on Friday,Congress' 1st list for Karnataka assembly polls likely on Friday
4,"Trump targets Amazon again, accuses it of scamming US postal services","Trump freezes $200 mn in Syrian recovery funds, suggesting exit",Trump calls off his South America visit,"Will meet Kim in May or early June, says Trump",China gained from 'poor' US leadership in past: Trump,Trump lauds US administration for handling IS in Syria,"Chelsea Handler supports Stormy Daniels, says she is not bimbo"
5,"Trump freezes $200 mn in Syrian recovery funds, suggesting exit",Trump lauds US administration for handling IS in Syria,Trump calls off his South America visit,Major decisions on Syria within 48 hours: Trump,"US, Russia clash at UNSC over probing chemical attacks in Syria",Trump to decide in next 24-48 hours on action against Syrian Chemical Attack suspects,"Will meet Kim in May or early June, says Trump"
6,Imam who lost son in Asansol riot appeals for peace,Panchayat Polls: Calcutta HC directs state EC to file report,WB Panchayat Election: EC extends last date for filing nominations,Rahul Gandhi goes for low-level politics; his tweets are insensitive: Anil Baluni,Panchayat Polls: West Bengal EC revokes extended deadline for filing nomination,Kaun Jitega 2019: BJP delegation visits relief camp in Asansol,WBJEE Admit Card 2018: Here is how to download
7,Students in Chhattisgarh village still await power supply,UP: Residents of Van Tangia bemoan lack of amenities,"Mahindra Electric, Zoomcar partner to offer self-drive EVs on rent",Honda Working On Electric Scooter For India,Gorakhpur: 6 die as car turns turtle,Relais &amp; Châteaux announce April 10 as first charity day,Fadnavis reviews progress of Jalyukt Shivar Abhiyan via video conferencing
8,Gaza protest: Netanyahu heaps praises on Israeli military,Bangladesh: 100 injured in clashes during massive students' protest,Politics of Bharat Bandh and its consequences,Politics of Bharat Bandh and its consequences,27 Taliban militants killed in Afghanistan,Bharat Bandh 2.0 LIVE UPDATES: Maximum protests reported form Bihar,Bharat Bandh 2.0 LIVE UPDATES: Protests taking place in different districts of Bihar
9,Chennai's Integral Coach Factory records new-high; builds 2503 coaches in 2017-18,"CBSE paper leak: 2 teachers, 1 coaching centre owner held",The medal doesn't only belongs to me: Sushil on clinching CWG gold,Honda Reveals Plans For FY 2018-19,VIDEO: Man gets electrocuted on top of train during Cauvery protest in Tamil Nadu,Harbhajan Singh `heartbroken` over shifting of IPL matches from Chennai,Manipur on entrepreneurship map with 'Made in Ukhrul' project
10,Karnataka government is nothing but 'ATM' of corruption for Congress: Amit Shah,Congress' 1st list for Karnataka assembly polls likely on Friday,Congress' 1st list for Karnataka assembly polls likely on Friday,BJP National President Amit Shah once again attacks Rahul Gandhi from Karnataka's Dharwad ,SM Krishna planning 'ghar wapsi' to Congress?,BJP MP castigates Siddaramaiah for 'ignoring' late Kargil hero,"Congress questions PM's 'silence' over Unnao rape case, says time to repent, not to indulge in theatrics"
11,"McCabe's legal defense fund hits $500,000",FBI raids a political witch hunt and a disgrace: Trump,"Trump freezes $200 mn in Syrian recovery funds, suggesting exit",Trump calls off his South America visit,FBI seizes documents related to porn star Stormy Daniels in a raid at Trump's lawyer's office,FBI conduct raids on Trump's lawyer's office,US removes Chad from travel ban list
12,ASSOCHAM demands BPO-centric response team to minimise cyber attacks,"Army Chief exhorts engineers, academia to develop modern weapons","Tech Mahindra, Balbix launch AI-powered predictive cyber risk platform",Rivigo eases e-way bill generation process,"Uttarakhand Shikhar Sammelan: BJP govt is good for nothing when it comes to work, says Harish Rawat",Simultaneous polls: Here's what CEC OP Rawat has to say about it,"DefExpo 2018: PM aims to transform defence production, procurement"
13,Indian Army's ocean sailing expedition begins return journey,Probe initiated after navy chopper makes emergency landing,Terrorists behind Lt. Ummer Fayaz's killing gunned down,"Army Chief exhorts engineers, academia to develop modern weapons","DU student beaten up, targeted for being 'UP-Bihar wala'","S Korea, US begin joint military drills",IPL: Ish Sodhi replaces injured Zahir Khan for RR
14,"Nation rings in Easter with carols, hymns",Congress terms PM Modi's decision to hold fast 'farce',Pink KitKats is a millennial thing,J-K: Two encounters underway in Shopian,Relais &amp; Châteaux announce April 10 as first charity day,Panchayat Polls: West Bengal EC revokes extended deadline for filing nomination,AASA organises its 10th 'Bohagi Utsav'
15,"1,156 flying squads, 1,255 static surveillance teams deployed in poll-bound K'taka",Rs 10 cr cash seized in poll-bound K'taka,Karnataka: Congress minister seeks IAS' immediate transfer,EC seeks powers to make election-related rules,'Don't vote for BJP'- Andhra Deputy CM,SM Krishna planning 'ghar wapsi' to Congress?,Sikar: 5 arrested for running IPL betting racket
16,"Stephen Hawking's funeral held, Eddie Redmayne gives reading",China's Tiangong-1 space lab set to hit Earth,Actress Soha Ali Khan felicitates achievers at India Education Awards - 2018 organised by Blindwink,International-level Tribal athletes to meet PM Modi on April 14,BJP MP castigates Siddaramaiah for 'ignoring' late Kargil hero,Encounter underway in J-K's Kulgam,India against use of chemical weapons: MEA
17,"Arijit Shashwat was arrested, claims police",Bhagalpur violence: Arijit Shashwat surrenders,Aaj Ka Arjun: Rift between Nitish and BJP's friendship?,Bhagalpur violence: Arijit Shashwat released from jail,Bhagalpur Violence: Union Minister Ashwini Choubey's son Arjit Shashwat arrested; says 'was not evading arrest',Bhagalpur Violence: Union Minister Ashwini Choubey's son Arjit Shashwat arrested; says 'was not evading arrest',Bhagalpur communal clash case: Arijit Shashwat surrenders
18,27 Taliban militants killed in Afghanistan,Eight militants killed in Afghanistan,J&K: Two militants killed in separate encounters in Kashmir,"J&K: 8 terrorists gunned down , one nabbed alive in army's biggest anti-militancy operations",Four IS militants killed in Afghanistan,Kulgam encounter: One Jawan martyred; 2 civilians dead,"Kulgam encounter: Army jawan, 3 civilians killed"
19,Former Navy officer found dead in his house,Fire breaks out in Delhi's jewellery shop,"Fire breaks out in Thane mall, cooling operation underway",Fire breaks out at painter Pramod Kamble's studio,Rajasthan: Miscreants arrested for shooting at villagers using BJP vehicle,Kodandaram's party gets green signal,FBI raids a political witch hunt and a disgrace: Trump
20,Swamy calls Mehbooba Mufti 'beloved' of Pak,Pak army has mastered art of non-coup coup: Haqqani,"Militarism, militancy not good for Pakistan's future: Husain Haqqani","CPEC would enable connectivity in Asia, says Abbasi","I'm Pakistani by birth, no one can take that away: Hussain Haqqani","Kathua MLA missing since 2 days, untraceable to comment on rape case",Pak's foundation built on injustice: PTM leader
21,At least 4 terrorists trapped in Kachdoora encounter site: SP Vaid,J-K: Seven terrorists gunned down in Dargad encounter,Terrorists killed in Shopian encounter were locals: SP Vaid,Shopian: One terrorist neutralised in Dragad encounter,J&K: Encounter between security forces & terrorists takes place in Shopian,J&K: Encounter between security forces & terrorists takes place in Shopian,J-K: Two encounters underway in Shopian
